Date,Open
09/12/16,112.309998
08/12/16,110.860001
07/12/16,109.260002
06/12/16,109.5
05/12/16,110
02/12/16,109.169998
01/12/16,110.370003
30/11/16,111.599998
29/11/16,110.779999
28/11/16,111.43
25/11/16,111.129997
23/11/16,111.360001
22/11/16,111.949997
21/11/16,110.120003
18/11/16,109.720001
17/11/16,109.809998
16/11/16,106.699997
15/11/16,106.57
14/11/16,107.709999
11/11/16,107.120003
10/11/16,111.089996
09/11/16,109.879997
08/11/16,110.309998
07/11/16,110.080002
04/11/16,108.529999
03/11/16,110.980003
02/11/16,111.400002
01/11/16,113.459999
31/10/16,113.650002
28/10/16,113.870003
27/10/16,115.389999
26/10/16,114.309998
25/10/16,117.949997
24/10/16,117.099998
21/10/16,116.809998
20/10/16,116.860001
19/10/16,117.25
18/10/16,118.18
17/10/16,117.330002
14/10/16,117.879997
13/10/16,116.790001
12/10/16,117.349998
11/10/16,117.699997
10/10/16,115.019997
07/10/16,114.309998
06/10/16,113.699997
05/10/16,113.400002
04/10/16,113.059998
03/10/16,112.709999
30/09/16,112.459999
29/09/16,113.160004
28/09/16,113.690002
27/09/16,113
26/09/16,111.639999
23/09/16,114.419998
22/09/16,114.349998
21/09/16,113.849998
20/09/16,113.050003
19/09/16,115.190002
16/09/16,115.120003
15/09/16,113.860001
14/09/16,108.730003
13/09/16,107.510002
12/09/16,102.650002
09/09/16,104.639999
08/09/16,107.25
07/09/16,107.830002
06/09/16,107.900002
02/09/16,107.699997
01/09/16,106.139999
31/08/16,105.660004
30/08/16,105.800003
29/08/16,106.620003
26/08/16,107.410004
25/08/16,107.389999
24/08/16,108.57
23/08/16,108.589996
22/08/16,108.860001
19/08/16,108.769997
18/08/16,109.230003
17/08/16,109.099998
16/08/16,109.629997
15/08/16,108.139999
