Date,Open
08/12/16,30.110001
07/12/16,29.48
06/12/16,29.42
05/12/16,29.33
02/12/16,29.309999
01/12/16,29.84
30/11/16,29.76
29/11/16,29.940001
28/11/16,30.08
25/11/16,29.6
23/11/16,29.83
22/11/16,30.08
21/11/16,30.299999
18/11/16,30.110001
17/11/16,29.91
16/11/16,31.620001
15/11/16,31.27
14/11/16,31.43
11/11/16,30.93
10/11/16,31.41
09/11/16,31.040001
08/11/16,30.940001
07/11/16,30.709999
04/11/16,29.98
03/11/16,30.5
02/11/16,30.43
01/11/16,30.85
31/10/16,30.34
28/10/16,30.360001
27/10/16,30.6
26/10/16,30.59
25/10/16,30.5
24/10/16,30.34
21/10/16,30.01
20/10/16,30.280001
19/10/16,30.440001
18/10/16,30.690001
17/10/16,30.129999
14/10/16,30.35
13/10/16,30.09
12/10/16,30.530001
11/10/16,31.52
10/10/16,31.540001
07/10/16,31.48
06/10/16,31.57
05/10/16,31.41
04/10/16,31.459999
03/10/16,31.309999
30/09/16,31.610001
29/09/16,31.51
28/09/16,31.440001
27/09/16,31.09
26/09/16,31.1
23/09/16,31.709999
22/09/16,31.5
21/09/16,31.110001
20/09/16,31.08
19/09/16,30.85
16/09/16,31.120001
15/09/16,30.629999
14/09/16,31.01
13/09/16,31.26
12/09/16,30.610001
09/09/16,31.139999
08/09/16,31.719999
07/09/16,31.790001
06/09/16,31.93
02/09/16,31.65
01/09/16,31.42
31/08/16,31.450001
30/08/16,31.610001
29/08/16,31.43
26/08/16,31.34
25/08/16,31.059999
24/08/16,30.98
23/08/16,30.83
22/08/16,30.440001
19/08/16,30.370001
18/08/16,30.41
17/08/16,30.969999
16/08/16,31.219999
15/08/16,30.98
12/08/16,30.92
11/08/16,30.950001
10/08/16,31.01
09/08/16,31.110001
08/08/16,31
05/08/16,30.9
04/08/16,30.780001
03/08/16,30.51
02/08/16,30.82
01/08/16,30.700001
29/07/16,30.6
28/07/16,30.65
27/07/16,30.950001
26/07/16,30.799999
25/07/16,30.67
22/07/16,30.700001
21/07/16,30.639999
20/07/16,30.040001
19/07/16,29.91
18/07/16,29.75
15/07/16,29.93
14/07/16,29.84
13/07/16,29.719999
12/07/16,29.719999
11/07/16,29.34
08/07/16,28.91
07/07/16,28.719999
06/07/16,28.450001
05/07/16,28.23
01/07/16,28.780001
30/06/16,28.379999
29/06/16,28.129999
28/06/16,27.549999
27/06/16,27.48
24/06/16,28.16
23/06/16,29.030001
22/06/16,28.870001
21/06/16,28.969999
20/06/16,29.040001
17/06/16,28.879999
16/06/16,28.379999
15/06/16,28.49
14/06/16,28.66
13/06/16,28.969999
10/06/16,28.790001
09/06/16,28.969999
08/06/16,29.09
07/06/16,28.9
06/06/16,29.07
03/06/16,29.129999
02/06/16,28.98
01/06/16,28.84
31/05/16,28.799999
27/05/16,28.950001
26/05/16,28.860001
25/05/16,28.58
24/05/16,28.01
23/05/16,27.780001
20/05/16,27.629999
19/05/16,27.99
18/05/16,26.610001
17/05/16,26.9
16/05/16,26.57
13/05/16,26.549999
12/05/16,26.809999
11/05/16,27.09
10/05/16,26.67
09/05/16,26.52
06/05/16,26.190001
05/05/16,26.459999
04/05/16,26.799999
03/05/16,27.16
02/05/16,27.48
29/04/16,27.719999
28/04/16,28.450001
27/04/16,28.440001
26/04/16,28.27
25/04/16,28.110001
22/04/16,28.299999
21/04/16,28.42
20/04/16,28.4
19/04/16,28.33
18/04/16,27.9
15/04/16,28.1
14/04/16,28.379999
13/04/16,27.959999
12/04/16,27.139999
11/04/16,27.879999
08/04/16,27.709999
07/04/16,27.9
06/04/16,27.700001
05/04/16,27.639999
04/04/16,28.370001
01/04/16,28.299999
31/03/16,28.530001
30/03/16,28.34
29/03/16,27.870001
28/03/16,27.99
24/03/16,27.77
23/03/16,28.26
22/03/16,28.200001
21/03/16,28.1
18/03/16,28.23
17/03/16,27.92
16/03/16,27.52
15/03/16,27.48
14/03/16,27.82
11/03/16,27.82
10/03/16,27.76
09/03/16,27.24
08/03/16,26.969999
07/03/16,26.58
04/03/16,26.92
03/03/16,26.950001
02/03/16,26.799999
01/03/16,26.450001
29/02/16,26.42
